A	B
0.0548	-242.87184
0.0549	-242.66344
0.055	-242.4553
0.0551	-242.24742
0.0552	-242.03982
0.0553	-241.83249
0.0554	-241.62544
0.0555	-241.41866
0.0556	-241.21216
0.0557	-241.00594
0.0558	-240.8
0.0559	-240.59435
0.056	-240.38898
0.0561	-240.1839
0.0562	-239.97911
0.0563	-239.77461
0.0564	-239.5704
0.0565	-239.36649
0.0566	-239.16287
0.0567	-238.95956
0.0568	-238.75654
0.0569	-238.55382
0.057	-238.35141
0.0571	-238.14931
0.0572	-237.94751
0.0573	-237.74602
0.0574	-237.54484
0.0575	-237.34397
0.0576	-237.14341
0.0577	-236.94317
0.0578	-236.74325
0.0579	-236.54364
0.058	-236.34435
0.0581	-236.14539
0.0582	-235.94674
0.0583	-235.74842
0.0584	-235.55043
0.0585	-235.35276
0.0586	-235.15542
0.0587	-234.95841
0.0588	-234.76172
0.0589	-234.56537
0.059	-234.36936
0.0591	-234.17367
0.0592	-233.97832
0.0593	-233.78331
0.0594	-233.58863
0.0595	-233.39429
0.0596	-233.20029
0.0597	-233.00663
0.0598	-232.81331
0.0599	-232.62033
0.06	-232.4277
0.0601	-232.23541
0.0602	-232.04346
0.0603	-231.85185
0.0604	-231.66059
0.0605	-231.46968
0.0606	-231.27911
0.0607	-231.08889
0.0608	-230.89902
0.0609	-230.7095
0.061	-230.52032
0.0611	-230.33149
0.0612	-230.14301
0.0613	-229.95488
0.0614	-229.7671
0.0615	-229.57966
0.0616	-229.39258
0.0617	-229.20584
0.0618	-229.01946
0.0619	-228.83342
0.062	-228.64773
0.0621	-228.46239
0.0622	-228.2774
0.0623	-228.09276
0.0624	-227.90847
0.0625	-227.72452
0.0626	-227.54092
0.0627	-227.35767
0.0628	-227.17476
0.0629	-226.9922
0.063	-226.80998
0.0631	-226.62811
0.0632	-226.44658
0.0633	-226.26539
0.0634	-226.08455
0.0635	-225.90404
0.0636	-225.72388
0.0637	-225.54405
0.0638	-225.36456
0.0639	-225.18541
0.064	-225.00659
0.0641	-224.8281
0.0642	-224.64995
0.0643	-224.47213
0.0644	-224.29463
0.0645	-224.11747
0.0646	-223.94063
0.0647	-223.76412
0.0648	-223.58793
0.0649	-223.41206
0.065	-223.23651
0.0651	-223.06128
0.0652	-222.88637
0.0653	-222.71177
0.0654	-222.53748
0.0655	-222.3635
0.0656	-222.18983
0.0657	-222.01646
0.0658	-221.8434
0.0659	-221.67064
0.066	-221.49818
0.0661	-221.32602
0.0662	-221.15415
0.0663	-220.98257
0.0664	-220.81128
0.0665	-220.64028
0.0666	-220.46956
0.0667	-220.29913
0.0668	-220.12897
0.0669	-219.95909
0.067	-219.78949
0.0671	-219.62015
0.0672	-219.45108
0.0673	-219.28228
0.0674	-219.11374
0.0675	-218.94546
0.0676	-218.77743
0.0677	-218.60966
0.0678	-218.44214
0.0679	-218.27486
0.068	-218.10783
0.0681	-217.94104
0.0682	-217.77449
0.0683	-217.60817
0.0684	-217.44208
0.0685	-217.27622
0.0686	-217.11059
0.0687	-216.94517
0.0688	-216.77997
0.0689	-216.61499
0.069	-216.45022
0.0691	-216.28565
0.0692	-216.12129
0.0693	-215.95713
0.0694	-215.79316
0.0695	-215.62939
0.0696	-215.46581
0.0697	-215.30241
0.0698	-215.1392
0.0699	-214.97617
0.07	-214.81331
0.0701	-214.65062
0.0702	-214.4881
0.0703	-214.32574
0.0704	-214.16355
0.0705	-214.00151
0.0706	-213.83962
0.0707	-213.67789
0.0708	-213.5163
0.0709	-213.35485
0.071	-213.19354
0.0711	-213.03236
0.0712	-212.87132
0.0713	-212.7104
0.0714	-212.5496
0.0715	-212.38893
0.0716	-212.22837
0.0717	-212.06792
0.0718	-211.90759
0.0719	-211.74735
0.072	-211.58722
0.0721	-211.42719
0.0722	-211.26725
0.0723	-211.1074
0.0724	-210.94764
0.0725	-210.78796
0.0726	-210.62836
0.0727	-210.46883
