dist	field
0.0831	-195.73445
0.0832	-195.57513
0.0833	-195.41579
0.0834	-195.25643
0.0835	-195.09704
0.0836	-194.93763
0.0837	-194.7782
0.0838	-194.61875
0.0839	-194.45928
0.084	-194.29978
0.0841	-194.14026
0.0842	-193.98072
0.0843	-193.82116
0.0844	-193.66157
0.0845	-193.50196
0.0846	-193.34233
0.0847	-193.18268
0.0848	-193.023
0.0849	-192.8633
0.085	-192.70358
0.0851	-192.54384
0.0852	-192.38407
0.0853	-192.22428
0.0854	-192.06447
0.0855	-191.90464
0.0856	-191.74478
0.0857	-191.58491
0.0858	-191.425
0.0859	-191.26508
0.086	-191.10513
0.0861	-190.94517
0.0862	-190.78517
0.0863	-190.62516
0.0864	-190.46512
0.0865	-190.30507
0.0866	-190.14498
0.0867	-189.98488
0.0868	-189.82475
0.0869	-189.6646
0.087	-189.50443
0.0871	-189.34423
0.0872	-189.18402
0.0873	-189.02378
0.0874	-188.86351
0.0875	-188.70323
0.0876	-188.54292
0.0877	-188.38259
0.0878	-188.22223
0.0879	-188.06185
0.088	-187.90145
0.0881	-187.74103
0.0882	-187.58059
0.0883	-187.42012
0.0884	-187.25963
0.0885	-187.09911
0.0886	-186.93857
0.0887	-186.77801
0.0888	-186.61743
0.0889	-186.45682
0.089	-186.2962
0.0891	-186.13554
0.0892	-185.97487
0.0893	-185.81417
0.0894	-185.65345
0.0895	-185.49271
0.0896	-185.33194
0.0897	-185.17115
0.0898	-185.01034
0.0899	-184.8495
0.09	-184.68864
0.0901	-184.52776
0.0902	-184.36686
0.0903	-184.20593
0.0904	-184.04498
0.0905	-183.884
0.0906	-183.72301
0.0907	-183.56199
0.0908	-183.40094
0.0909	-183.23988
0.091	-183.07879
0.0911	-182.91767
0.0912	-182.75654
0.0913	-182.59538
0.0914	-182.43419
0.0915	-182.27299
0.0916	-182.11176
0.0917	-181.95051
0.0918	-181.78923
0.0919	-181.62793
0.092	-181.46661
0.0921	-181.30526
0.0922	-181.14389
0.0923	-180.9825
0.0924	-180.82109
0.0925	-180.65965
0.0926	-180.49819
0.0927	-180.3367
0.0928	-180.17519
0.0929	-180.01366
0.093	-179.8521
0.0931	-179.69052
0.0932	-179.52892
0.0933	-179.36729
0.0934	-179.20564
0.0935	-179.04397
0.0936	-178.88227
0.0937	-178.72055
0.0938	-178.55881
0.0939	-178.39704
0.094	-178.23525
0.0941	-178.07344
0.0942	-177.9116
0.0943	-177.74974
0.0944	-177.58785
0.0945	-177.42594
0.0946	-177.26401
0.0947	-177.10206
0.0948	-176.94008
0.0949	-176.77807
0.095	-176.61605
0.0951	-176.454
0.0952	-176.29192
0.0953	-176.12982
0.0954	-175.9677
0.0955	-175.80556
0.0956	-175.64339
0.0957	-175.48119
0.0958	-175.31898
0.0959	-175.15674
0.096	-174.99447
0.0961	-174.83218
0.0962	-174.66987
0.0963	-174.50754
0.0964	-174.34518
0.0965	-174.18279
0.0966	-174.02039
0.0967	-173.85796
0.0968	-173.6955
0.0969	-173.53302
0.097	-173.37052
0.0971	-173.20799
0.0972	-173.04544
0.0973	-172.88287
0.0974	-172.72027
0.0975	-172.55764
0.0976	-172.395
0.0977	-172.23233
0.0978	-172.06963
0.0979	-171.90691
0.098	-171.74417
0.0981	-171.5814
0.0982	-171.41861
0.0983	-171.25579
0.0984	-171.09296
0.0985	-170.93009
0.0986	-170.7672
0.0987	-170.60429
0.0988	-170.44136
0.0989	-170.2784
0.099	-170.11541
0.0991	-169.9524
0.0992	-169.78937
0.0993	-169.62631
0.0994	-169.46323
0.0995	-169.30013
0.0996	-169.137
0.0997	-168.97384
0.0998	-168.81066
0.0999	-168.64746
0.1	-168.48423
0.1001	-168.32098
0.1002	-168.15771
0.1003	-167.99441
0.1004	-167.83108
0.1005	-167.66773
0.1006	-167.50436
0.1007	-167.34096
0.1008	-167.17754
0.1009	-167.01409
0.101	-166.85062
0.1011	-166.68712
0.1012	-166.5236
0.1013	-166.36006
0.1014	-166.19649
0.1015	-166.0329
0.1016	-165.86928
0.1017	-165.70563
0.1018	-165.54197
0.1019	-165.37828
0.102	-165.21456
0.1021	-165.05082
0.1022	-164.88705
0.1023	-164.72326
0.1024	-164.55945
0.1025	-164.39561
0.1026	-164.23174
0.1027	-164.06785
0.1028	-163.90394
0.1029	-163.74
0.103	-163.57603
0.1031	-163.41205
0.1032	-163.24803
0.1033	-163.084
0.1034	-162.91993
0.1035	-162.75584
0.1036	-162.59173
0.1037	-162.4276
0.1038	-162.26343
0.1039	-162.09925
0.104	-161.93503
0.1041	-161.7708
0.1042	-161.60654
0.1043	-161.44225
0.1044	-161.27794
0.1045	-161.1136
0.1046	-160.94924
0.1047	-160.78485
0.1048	-160.62044
0.1049	-160.456
0.105	-160.29154
0.1051	-160.12706
0.1052	-159.96254
0.1053	-159.79801
0.1054	-159.63345
0.1055	-159.46886
0.1056	-159.30425
0.1057	-159.13961
0.1058	-158.97495
0.1059	-158.81026
0.106	-158.64555
0.1061	-158.48081
0.1062	-158.31605
0.1063	-158.15126
0.1064	-157.98644
0.1065	-157.8216
0.1066	-157.65674
0.1067	-157.49185
0.1068	-157.32694
0.1069	-157.162
0.107	-156.99703
0.1071	-156.83204
0.1072	-156.66702
0.1073	-156.50198
0.1074	-156.33691
0.1075	-156.17182
0.1076	-156.0067
0.1077	-155.84156
0.1078	-155.67639
0.1079	-155.5112
0.108	-155.34598
0.1081	-155.18073
0.1082	-155.01546
0.1083	-154.85017
0.1084	-154.68484
0.1085	-154.5195
0.1086	-154.35412
0.1087	-154.18873
0.1088	-154.0233
0.1089	-153.85785
0.109	-153.69238
0.1091	-153.52688
0.1092	-153.36135
0.1093	-153.1958
0.1094	-153.03022
0.1095	-152.86462
0.1096	-152.69899
0.1097	-152.53333
0.1098	-152.36765
0.1099	-152.20194
0.11	-152.03621
0.1101	-151.87045
0.1102	-151.70467
0.1103	-151.53886
0.1104	-151.37302
0.1105	-151.20716
0.1106	-151.04127
0.1107	-150.87536
0.1108	-150.70942
0.1109	-150.54345
0.111	-150.37746
0.1111	-150.21144
0.1112	-150.0454
0.1113	-149.87933
0.1114	-149.71324
0.1115	-149.54712
0.1116	-149.38097
0.1117	-149.21479
0.1118	-149.0486
0.1119	-148.88237
0.112	-148.71612
0.1121	-148.54984
0.1122	-148.38354
0.1123	-148.21721
0.1124	-148.05085
0.1125	-147.88447
0.1126	-147.71806
0.1127	-147.55162
0.1128	-147.38516
0.1129	-147.21867
0.113	-147.05216
0.1131	-146.88562
0.1132	-146.71905
0.1133	-146.55246
0.1134	-146.38584
0.1135	-146.2192
0.1136	-146.05253
0.1137	-145.88583
0.1138	-145.7191
0.1139	-145.55235
0.114	-145.38558
0.1141	-145.21877
0.1142	-145.05194
0.1143	-144.88508
0.1144	-144.7182
0.1145	-144.55129
0.1146	-144.38436
0.1147	-144.21739
0.1148	-144.0504
0.1149	-143.88339
0.115	-143.71634
0.1151	-143.54928
0.1152	-143.38218
0.1153	-143.21506
0.1154	-143.04791
0.1155	-142.88073
0.1156	-142.71353
0.1157	-142.5463
0.1158	-142.37904
0.1159	-142.21176
0.116	-142.04445
0.1161	-141.87712
0.1162	-141.70975
0.1163	-141.54236
0.1164	-141.37495
0.1165	-141.2075
0.1166	-141.04003
0.1167	-140.87253
0.1168	-140.70501
0.1169	-140.53746
0.117	-140.36988
0.1171	-140.20228
0.1172	-140.03464
0.1173	-139.86699
0.1174	-139.6993
0.1175	-139.53159
0.1176	-139.36385
0.1177	-139.19608
0.1178	-139.02828
0.1179	-138.86046
0.118	-138.69261
0.1181	-138.52474
0.1182	-138.35684
0.1183	-138.18891
0.1184	-138.02095
0.1185	-137.85297
0.1186	-137.68495
0.1187	-137.51691
0.1188	-137.34885
0.1189	-137.18076
0.119	-137.01264
0.1191	-136.84449
0.1192	-136.67631
0.1193	-136.50811
0.1194	-136.33988
0.1195	-136.17162
0.1196	-136.00334
0.1197	-135.83503
0.1198	-135.66669
0.1199	-135.49832
0.12	-135.32992
0.1201	-135.1615
0.1202	-134.99305
0.1203	-134.82458
0.1204	-134.65607
0.1205	-134.48754
0.1206	-134.31898
0.1207	-134.15039
0.1208	-133.98178
0.1209	-133.81314
0.121	-133.64447
0.1211	-133.47577
0.1212	-133.30704
0.1213	-133.13829
0.1214	-132.96951
0.1215	-132.8007
0.1216	-132.63186
0.1217	-132.463
0.1218	-132.29411
0.1219	-132.12519
0.122	-131.95624
0.1221	-131.78727
0.1222	-131.61826
0.1223	-131.44923
0.1224	-131.28017
0.1225	-131.11109
0.1226	-130.94197
0.1227	-130.77283
0.1228	-130.60366
0.1229	-130.43446
0.123	-130.26523
0.1231	-130.09598
0.1232	-129.92669
0.1233	-129.75738
0.1234	-129.58804
0.1235	-129.41868
0.1236	-129.24928
0.1237	-129.07986
0.1238	-128.91041
0.1239	-128.74093
0.124	-128.57142
0.1241	-128.40188
0.1242	-128.23232
0.1243	-128.06272
0.1244	-127.8931
0.1245	-127.72345
0.1246	-127.55378
0.1247	-127.38407
0.1248	-127.21434
0.1249	-127.04457
0.125	-126.87478
0.1251	-126.70496
0.1252	-126.53511
0.1253	-126.36524
0.1254	-126.19533
0.1255	-126.0254
0.1256	-125.85544
0.1257	-125.68545
0.1258	-125.51543
0.1259	-125.34538
0.126	-125.1753
0.1261	-125.0052
0.1262	-124.83507
0.1263	-124.6649
0.1264	-124.49471
0.1265	-124.32449
0.1266	-124.15425
0.1267	-123.98397
0.1268	-123.81366
0.1269	-123.64333
0.127	-123.47297
0.1271	-123.30257
0.1272	-123.13215
0.1273	-122.9617
0.1274	-122.79123
0.1275	-122.62072
0.1276	-122.45018
0.1277	-122.27962
0.1278	-122.10902
0.1279	-121.9384
0.128	-121.76775
0.1281	-121.59707
0.1282	-121.42636
0.1283	-121.25562
